S.No,State,total_population,population_male,population_female
1,MAHARASHTRA,37722136,19961736,17760400
2,UTTAR PRADESH,25302925,13433369,11869556
3,ANDHRA PRADESH,18171615,9192368,8979247
4,WEST BENGAL,18063509,9357777,8705732
5,GUJARAT,17835049,9541688,8293361
6,KARNATAKA,15799896,8112840,7687056
7,TAMIL NADU,13879395,6957261,6922134
8,DELHI,13481997,7201322,6280675
9,MADHYA PRADESH,11023091,5761143,5261948
10,RAJASTHAN,10443016,5484470,4958546
11,BIHAR,6714516,3558722,3155794
12,HARYANA,5952223,3181968,2770255
13,PUNJAB,5821876,3106473,2715403
14,JHARKHAND,4278259,2247819,2030440
15,CHHATTISGARH,3137918,1612019,1525899
16,ORISSA,3003234,1560423,1442811
17,KERALA,2755973,1335615,1420358
18,J&K,1804987,953292,851695
19,ASSAM,1391154,720132,671022
20,UTTARAKHAND,1340397,706939,633458
21,CHANDIGARH,960787,525226,435561
22,PONDY,541801,266359,275442
23,TRIPURA,399688,199616,200072
24,MIZORAM,291822,143803,148019
25,MANIPUR,264986,128931,136055
26,HIMACHAL PRADESH,169758,93364,76394
27,MEGHALAYA,143007,70028,72979
28,NAGALAND,123777,65017,58760
29,ANDAMAN & NICOBAR ISLANDS,100608,53247,47361
30,SIKKIM,610577,323070,287507
31,DNH,13039,8193,4846
32,TELANGANA,35003674,17611633,17392041
33,GOA,1458545,739140,719405
